,abv,brewery_location,brewery_name,ibu,id,name,size,style,ibu_clean,abv_clean,state,r8_beer_name,r8_beer_style,r8_beer_parent_style,r8_beer_overall_score,r8_beer_avg_rating
499,4.2%,"Chicago, IL",Goose Island Brewing Company,18.0,2201.0,312 Urban Wheat Ale,16 oz.,American Pale Wheat Ale,18.0,4.2,IL,Base Camp Lost Meridian Wit,Witbier,Wheat Beer,73.07942562444458,3.3616631031036377
500,5.8%,"Portland, OR",Hopworks Urban Brewery,35.0,2200.0,Survival Stout,16 oz.,American Stout,35.0,5.8,OR,N/A,N/A,N/A,,
501,6.6%,"Portland, OR",Hopworks Urban Brewery,75.0,2199.0,Hopworks IPA,16 oz.,American IPA,75.0,6.6,OR,Mehana Tsunami IPA,India Pale Ale (IPA),Anglo-American Ales,65.50768520515312,3.29961895942688
502,5.9%,"Chicago, IL",Goose Island Brewery Company,55.0,2198.0,Goose Island India Pale Ale,12 oz.,American IPA,55.0,5.9,IL,N/A,N/A,N/A,,
503,5.0%,"Fort Worth, TX",Martin House Brewing Company,35.0,2197.0,Rubberneck Red,16 oz.,American Amber / Red Ale,35.0,5.0,TX,N/A,N/A,N/A,,
504,5.0%,"Portland, OR",Burnside Brewing Co.,14.0,2196.0,Couch Select Lager,12 oz.,American Pale Lager,14.0,5.0,OR,N/A,Golden Ale/Blond Ale,Anglo-American Ales,32.09763141996846,2.9421610832214355
505,4.9%,"Springfield, OR",Hop Valley Brewing Company,20.0,2195.0,Double D Blonde,12 oz.,American Blonde Ale,20.0,4.9,OR,Grand Canyon Sunset Amber Ale,Amber Ale,Anglo-American Ales,35.72951092429561,2.9901020526885986
506,6.9%,"Bend, OR",Worthy Brewing Company,69.0,2194.0,Worthy IPA,12 oz.,American IPA,69.0,6.9,OR,Hawaii Nui Hapa Brown Ale,Brown Ale,Anglo-American Ales,50.29424529901746,3.212718963623047
507,7.3%,"Portland, OR",Hopworks Urban Brewery,70.0,2193.0,Abominable Winter Ale,16 oz.,American Strong Ale,70.0,7.3,OR,Hawaii Nui Hapa Brown Ale,Brown Ale,Anglo-American Ales,50.29424529901746,3.212718963623047
508,4.7%,"Portland, OR",Occidental Brewing Company,,2192.0,Occidental Hefeweizen,16 oz.,American Pale Wheat Ale,20.6885245902,4.7,OR,N/A,N/A,N/A,,
509,7.5%,"Estacada, OR",Fearless Brewing Company,53.0,2191.0,Loki Red Ale,16 oz.,American Amber / Red Ale,53.0,7.5,OR,Mehana Alala Hawaiian Crow Porter,Porter,Stouts and Porters,37.973323640395634,3.0189309120178223
510,4.5%,"Bloomington, IN",Upland Brewing Company,50.0,2190.0,Campside Session IPA,16 oz.,American IPA,50.0,4.5,IN,Mehana Volcano Red Ale,Amber Ale,Anglo-American Ales,28.37594947745107,2.904803991317749
511,6.8%,"Portland, OR",Base Camp Brewing Co.,62.0,2189.0,In-Tents India Pale Lager,12 oz.,American Pale Lager,62.0,6.8,OR,N/A,N/A,N/A,,
512,5.0%,"Portland, OR",Base Camp Brewing Co.,20.0,2188.0,Lost Meridian Wit,12 oz.,Witbier,20.0,5.0,OR,N/A,India Pale Ale (IPA),Anglo-American Ales,82.69940783169913,3.4343409538269043
513,5.1%,"Portland, OR",Base Camp Brewing Co.,45.0,2187.0,Celestial Meridian Cascadian Dark Lager,12 oz.,Euro Dark Lager,45.0,5.1,OR,Fort George Quick Wit,Witbier,Wheat Beer,48.61977873758025,3.175386905670166
514,7.2%,"Hilo, HI",Mehana Brewing Co.,75.0,2186.0,Tsunami IPA,19.2 oz.,American IPA,75.0,7.2,HI,N/A,N/A,N/A,,
515,7.2%,"Hilo, HI",Mehana Brewing Co.,75.0,2185.0,Tsunami IPA,12 oz.,American IPA,75.0,7.2,HI,2 Towns Cherried Away,Cider,Ciders,60.762874117113576,3.2768609523773193
516,4.2%,"Hilo, HI",Mehana Brewing Co.,22.0,2184.0,Humpback Blonde Ale,12 oz.,American Blonde Ale,22.0,4.2,HI,2 Towns Rhubarbarian,Cider,Ciders,68.86306329073733,3.3321259021759033
517,4.9%,"Hilo, HI",Hawai'i Nui Brewing Co.,,2183.0,Kaua'i Golden Ale,12 oz.,American Blonde Ale,20.9032258065,4.9,HI,N/A,India Pale Ale (IPA),Anglo-American Ales,82.09763141929186,3.4009270668029785
518,5.4%,"Hilo, HI",Hawai'i Nui Brewing Co.,,2182.0,Sunset Amber,12 oz.,American Pale Ale (APA),44.9411764706,5.4,HI,Branchline Evil Owl Amber,Amber Ale,Anglo-American Ales,30.862132628797255,2.929687023162842
519,6.4%,"Hilo, HI",Hawai'i Nui Brewing Co.,,2181.0,Hapa Brown Ale,19.2 oz.,American Brown Ale,30.0256410256,6.4,HI,N/A,N/A,N/A,,
520,6.4%,"Hilo, HI",Hawai'i Nui Brewing Co.,,2180.0,Hapa Brown Ale,12 oz.,American Brown Ale,30.0256410256,6.4,HI,N/A,N/A,N/A,,
521,8.3%,"Hilo, HI",Hawai'i Nui Brewing Co.,,2179.0,Southern Cross,19.2 oz.,Flanders Red Ale,0.0,8.3,HI,N/A,N/A,N/A,,
522,5.2%,"Hilo, HI",Mehana Brewing Co.,27.0,2178.0,Hawaiian Crow Porter,12 oz.,American Porter,27.0,5.2,HI,N/A,N/A,N/A,,
523,5.2%,"Hilo, HI",Mehana Brewing Co.,23.0,2177.0,Volcano Red Ale,12 oz.,American Amber / Red Ale,23.0,5.2,HI,N/A,Wheat Ale,Wheat Beer,87.64050393808279,3.4955759048461914
524,5.4%,"Hilo, HI",Mehana Brewing Co.,42.0,2176.0,Mauna Kea Pale Ale,12 oz.,American Pale Ale (APA),42.0,5.4,HI,N/A,N/A,N/A,,
525,6.5%,"Lafayette, IN",People's Brewing Company,77.0,2175.0,Mound Builder IPA,12 oz.,American IPA,77.0,6.5,IN,N/A,N/A,N/A,,
526,5.2%,"Astoria, OR",Fort George Brewery,,2172.0,Quick WIT,12 oz.,Belgian Pale Ale,23.875,5.2,OR,Modern Times Booming Rollers,India Pale Ale (IPA),Anglo-American Ales,96.76093416716394,3.719089984893799
527,6.2%,"Astoria, OR",Fort George Brewery,,2171.0,The Optimist,12 oz.,American IPA,67.634551495,6.2,OR,Modern Times Oneida,American Pale Ale,Anglo-American Ales,91.35492800144702,3.5660440921783447
528,6.0%,"Corvallis, OR",2 Towns Ciderhouse,,2170.0,Cherried Away,12 oz.,Cider,0.0,6.0,OR,Temperance Smittytown,Premium Bitter/ESB,Anglo-American Ales,58.32900739855992,3.2397730350494385
529,6.0%,"Corvallis, OR",2 Towns Ciderhouse,,2169.0,Rhubarbarian,12 oz.,Cider,0.0,6.0,OR,N/A,N/A,N/A,,
530,6.2%,"Lafayette, IN",People's Brewing Company,62.0,2168.0,Amazon Princess IPA,12 oz.,American IPA,62.0,6.2,IN,N/A,N/A,N/A,,
531,5.2%,"San Antonio, TX",Branchline Brewing Company,40.0,2167.0,Evil Owl,12 oz.,American Amber / Red Ale,40.0,5.2,TX,N/A,N/A,N/A,,
532,8.5%,"Dallas, TX",Deep Ellum Brewing Company,100.0,2166.0,Dream Crusher Double IPA,12 oz.,American Double / Imperial IPA,100.0,8.5,TX,Point Beyond The Pale IPA,India Pale Ale (IPA),Anglo-American Ales,62.03638828617098,3.275122880935669
533,5.4%,"Indianapolis, IN",Sun King Brewing Company,23.0,2164.0,Cowbell,16 oz.,American Porter,23.0,5.4,IN,N/A,N/A,N/A,,
534,7.1%,"Kalona, IA",Kalona Brewing Company,,2163.0,Sucha Much IPA,12 oz.,American IPA,67.634551495,7.1,IA,N/A,N/A,N/A,,
535,7.5%,"Kalona, IA",Kalona Brewing Company,24.0,2162.0,Lewbricator Wheat Dopplebock ,12 oz.,Doppelbock,24.0,7.5,IA,Wisconsin #003 Brown & Robust Porter,Porter,Stouts and Porters,,
536,6.8%,"Michigan City, IN",Burn 'Em Brewing,16.0,2160.0,Joey Wheat,16 oz.,American Pale Wheat Ale,16.0,6.8,IN,Wisconsin #004 Session I.P.A.,Session IPA,Anglo-American Ales,42.86987476874044,3.0775818824768066
537,7.5%,"San Diego, CA",Modern Times Beer,85.0,2159.0,City of the Sun,16 oz.,American IPA,85.0,7.5,CA,N/A,N/A,N/A,,
538,7.2%,"Michigan City, IN",Burn 'Em Brewing,86.0,2158.0,3:33 Black IPA,16 oz.,American IPA,86.0,7.2,IN,N/A,N/A,N/A,,
539,6.8%,"San Diego, CA",Modern Times Beer,75.0,2157.0,Booming Rollers,16 oz.,American IPA,75.0,6.8,CA,Griffin Claw 3 Scrooges,Spice/Herb/Vegetable,"Traditional, Spice, Other",62.17717400836056,3.2765181064605713
540,5.2%,"San Diego, CA",Modern Times Beer,50.0,2156.0,Oneida,16 oz.,American Pale Ale (APA),50.0,5.2,CA,Michigan Brewing Screamin Pumpkin Spiced Ale,Spice/Herb/Vegetable,"Traditional, Spice, Other",82.89763141996846,3.3552379608154297
541,4.8%,"Evanston, IL",Temperance Beer Company,,2155.0,Smittytown,12 oz.,Extra Special / Strong Bitter (ESB),45.7142857143,4.8,IL,Griffin Claw Grand Trunk Bohemian Pils,N/A,Lagers,83.77499446141069,3.4458119869232178
542,6.7%,"San Diego, CA",Modern Times Beer,75.0,2154.0,Aurora ,16 oz.,American Amber / Red Ale,75.0,6.7,CA,Bullfrog El Rojo Diablo Oak Aged,Sour/Wild Ale,Lambic and Sour Ale,92.86987478789743,3.5086779594421387
543,6.0%,"Marquette, MI",Blackrocks Brewery,30.0,2153.0,North Third Stout,12 oz.,Foreign / Export Stout,30.0,6.0,MI,N/A,India Pale Ale (IPA),Anglo-American Ales,81.27869175098925,3.43058705329895
544,5.2%,"Stevens Point, WI",Stevens Point Brewery,9.0,2151.0,Onyx Black Ale,12 oz.,American Black Ale,9.0,5.2,WI,Griffin Claw Grind Line Pale Ale,American Pale Ale,Anglo-American Ales,78.26437370565259,3.3958640098571777
545,6.3%,"Stevens Point, WI",Stevens Point Brewery,64.0,2150.0,Beyond The Pale IPA,12 oz.,American IPA,64.0,6.3,WI,Brewery Vivant Wizard Burial Ground,Abt/Quadrupel,Belgian-Style Ales,96.13592036344679,3.6898860931396484
546,5.5%,"Verona, WI",Wisconsin Brewing Company,,2149.0,#001 Golden Amber Lager,12 oz.,American Amber / Red Lager,23.25,5.5,WI,Spiteful God Damn Pigeon Porter,Imperial Porter,Stouts and Porters,97.42781188506802,3.751204013824463
547,7.1%,"Verona, WI",Wisconsin Brewing Company,60.0,2148.0,#002 American I.P.A.,12 oz.,American IPA,60.0,7.1,WI,Spiteful Working For The Weekend,Imperial IPA,Anglo-American Ales,96.30781687862039,3.7001490592956543
548,5.2%,"Verona, WI",Wisconsin Brewing Company,,2147.0,#003 Brown & Robust Porter,12 oz.,American Porter,32.2368421053,5.2,WI,N/A,N/A,N/A,,
549,4.8%,"Verona, WI",Wisconsin Brewing Company,38.0,2146.0,#004 Session I.P.A.,12 oz.,American IPA,38.0,4.8,WI,N/A,N/A,N/A,,
550,6.5%,"Spearfish, SD",Crow Peak Brewing Company,,2145.0,Red Water Irish Style Red,12 oz.,American Amber / Red Ale,36.2987012987,6.5,SD,N/A,India Pale Ale (IPA),Anglo-American Ales,57.027811859359765,3.2353100776672363
551,5.0%,"Fredericksburg, TX",Pedernales Brewing Company,17.0,2144.0,Robert Earl Keen Honey Pils,12 oz.,American Pilsner,17.0,5.0,TX,18th Street Cone Crusher,Imperial IPA,Anglo-American Ales,95.90492876843723,3.6830430030822754
552,6.5%,"Birmingham, MI",Griffin Claw Brewing Company,,2143.0,3 Scrooges,16 oz.,Winter Warmer,24.625,6.5,MI,N/A,N/A,N/A,,
553,5.0%,"Birmingham, MI",Griffin Claw Brewing Company,25.0,2142.0,Screamin’ Pumpkin,16 oz.,Pumpkin Ale,25.0,5.0,MI,N/A,Brown Ale,Anglo-American Ales,47.42781185935977,3.165415048599243
554,5.0%,"Birmingham, MI",Griffin Claw Brewing Company,35.0,2141.0,Grand Trunk Bohemian Pils,16 oz.,Czech Pilsener,35.0,5.0,MI,Grapevine Lakefire Rye Pale Ale,American Pale Ale,Anglo-American Ales,46.92900739855991,3.151906967163086
555,6.5%,"Birmingham, MI",Griffin Claw Brewing Company,25.0,2140.0,El Rojo,16 oz.,American Amber / Red Ale,25.0,6.5,MI,Hartwall 1836 Classic Gourmet Tumma Ruokaolut,Amber Lager/Vienna,Lagers,15.096802919203544,2.6409690380096436
556,7.5%,"Birmingham, MI",Griffin Claw Brewing Company,,2139.0,Norm's Raggedy Ass IPA,16 oz.,American IPA,67.634551495,7.5,MI,N/A,N/A,N/A,,
557,5.0%,"Birmingham, MI",Griffin Claw Brewing Company,35.0,2138.0,Grind Line,16 oz.,American Pale Ale (APA),35.0,5.0,MI,Buffalo Bayou More Cowbell,Imperial IPA,Anglo-American Ales,71.19520622851041,3.3474199771881104
558,9.9%,"Grand Rapids, MI",Brewery Vivant,,2137.0,Wizard Burial Ground,16 oz.,Quadrupel (Quad),24.0,9.9,MI,N/A,N/A,N/A,,
559,8.2%,"Chicago, IL",Spiteful Brewing Company,,2136.0,God Damn Pigeon Porter,16 oz.,American Porter,32.2368421053,8.2,IL,N/A,N/A,N/A,,
560,7.9%,"Chicago, IL",Spiteful Brewing Company,,2135.0,Working for the Weekend,16 oz.,American Double / Imperial IPA,93.5394736842,7.9,IL,N/A,N/A,N/A,,
561,6.0%,"Chicago, IL",Spiteful Brewing Company,,2134.0,Angry Adam,16 oz.,American Amber / Red Ale,36.2987012987,6.0,IL,Texian First Stand,Belgian Ale,Belgian-Style Ales,37.21822108405196,2.935184955596924
562,8.5%,"Cincinnati, OH",Madtree Brewing Company,,2133.0,Thunder Snow,12 oz.,Winter Warmer,24.625,8.5,OH,Texian Battle Line Brown,Brown Ale,Anglo-American Ales,43.7806799185513,3.0844879150390625
563,6.0%,"Cincinnati, OH",Rhinegeist Brewery,60.0,2132.0,Dad,12 oz.,American Amber / Red Ale,60.0,6.0,OH,Broken Bridge Hygge,Porter,Stouts and Porters,,3.0355870723724365
564,8.6%,"Gary, IN",18th Street Brewery,,2131.0,Cone Crusher,12 oz.,American Double / Imperial IPA,93.5394736842,8.6,IN,N/A,N/A,N/A,,
