,abv,brewery_location,brewery_name,ibu,id,name,size,style,ibu_clean,abv_clean,state,r8_beer_name,r8_beer_style,r8_beer_parent_style,r8_beer_overall_score,r8_beer_avg_rating
0,5.0%,"Chandler, AZ",SanTan Brewing Company,20.0,2707.0,Mr. Pineapple,12 oz.,Wheat Ale,20.0,5.0,AZ,SanTan Mr. Pineapple,Wheat Ale,Wheat Beer,52.058883973379636,3.215852975845337
1,8.2%,"Cincinnati, OH",Christian Moerlein Brewing Company,70.0,2706.0,Handle Bar (Current),12 oz.,American Stout,70.0,8.2,OH,N/A,N/A,N/A,,
2,5.0%,"Forest, VA",Apocalypse Ale Works,18.0,2705.0,Golden Censer,12 oz.,Wheat Ale,18.0,5.0,VA,Apocalypse Ale Works Golden Censer,Wheat Ale,Wheat Beer,48.29782485216966,3.1873159408569336
3,6.2%,"Manassas, VA",Heritage Brewing Company,,2704.0,Freedom Isn't Free,12 oz.,American IPA,67.634551495,6.2,VA,N/A,India Pale Ale (IPA),Anglo-American Ales,36.875340383509936,3.016386032104492
4,7.4%,"Manassas, VA",Heritage Brewing Company,115.0,2703.0,Kings Mountain,12 oz.,Scottish Ale,115.0,7.4,VA,Heritage Kings Mountain,Scotch Ale,Anglo-American Ales,49.68267636970165,3.2073140144348145
5,8.0%,"Forest, VA",Apocalypse Ale Works,110.0,2702.0,Red Hoppocalypse,12 oz.,American Double / Imperial IPA,110.0,8.0,VA,Apocalypse Ale Works Hoppocalypse Imperial Red Ale,Imperial IPA,Anglo-American Ales,87.55660577271989,3.502980947494507
6,5.0%,"Hays, KS",Defiance Brewing Company,16.0,2701.0,Willy Nilly,12 oz.,American Blonde Ale,16.0,5.0,KS,Brains Willy Nilly (Bottle),Bitter,Anglo-American Ales,38.54518690149945,2.937027931213379
7,5.5%,"Madison, OH",Hop View Brewing Company,35.0,2700.0,Bernie Beer,12 oz.,American Brown Ale,35.0,5.5,OH,Hop View Bernie Beer,Brown Ale,Anglo-American Ales,37.64050392880382,2.9711830615997314
8,5.7%,"Lexington, KY",West Sixth Brewing,,2699.0,Lemongrass American Wheat,"12 oz,",Wheat Ale,20.6666666667,5.7,KY,American Sky Lemongrass Wheat,Wheat Ale,Wheat Beer,,0
9,6.5%,"Warrenville, IL",Two Brothers Brewing Company,,2698.0,Outlaw IPA,12 oz.,American IPA,67.634551495,6.5,IL,Two Brothers Outlaw IPA,India Pale Ale (IPA),Anglo-American Ales,65.50768520515312,3.3012309074401855
10,5.0%,"Saint Louis, MO",4 Hands Brewing Company,,2697.0,Single Speed,12 oz.,American Blonde Ale,20.9032258065,5.0,MO,4 Hands Single Speed,Golden Ale/Blond Ale,Anglo-American Ales,48.83342717896145,3.1915769577026367
11,5.0%,"Providence, RI",Narragansett Brewing Company,,2696.0,Del's Shandy,16 oz.,Shandy,0.0,5.0,RI,N/A,Radler/Shandy,Lagers,32.5,2.961148977279663
12,5.0%,"Providence, RI",Narragansett Brewing Company,12.0,2695.0,Lager,16 oz.,American Pale Lager,12.0,5.0,RI,Lager Heads High Five IPA,India Pale Ale (IPA),Anglo-American Ales,77.13292386888573,3.3926830291748047
13,5.8%,"Houston, TX",Buffalo Bayou Brewing Company,22.0,2694.0,Great White Buffalo,12 oz,Witbier,22.0,5.8,TX,Buffalo Bayou Great White Buffalo,Witbier,Wheat Beer,57.60707707090217,3.242945909500122
14,6.5%,"Dripping Springs, TX",Twisted X Brewing Company,46.0,2693.0,Fuego (2016),12 oz,American Pilsner,46.0,6.5,TX,N/A,N/A,N/A,,
15,4.5%,"Minneapolis, MN",NorthGate Brewing ,50.0,2692.0,Get Together,16 oz.,American IPA,50.0,4.5,MN,Northgate Get Together IPA,Session IPA,Anglo-American Ales,,3.1123440265655518
16,4.9%,"Minneapolis, MN",NorthGate Brewing ,26.0,2691.0,Maggie's Leap,16 oz.,Milk / Sweet Stout,26.0,4.9,MN,N/A,Sweet Stout,Stouts and Porters,83.87100206982265,3.455199956893921
17,4.8%,"Minneapolis, MN",NorthGate Brewing ,19.0,2690.0,Wall's End,16 oz.,English Brown Ale,19.0,4.8,MN,N/A,Brown Ale,Anglo-American Ales,54.40535985780613,3.2236690521240234
18,6.0%,"Minneapolis, MN",NorthGate Brewing ,38.0,2689.0,Pumpion,16 oz.,Pumpkin Ale,38.0,6.0,MN,N/A,N/A,N/A,,
19,6.0%,"Minneapolis, MN",NorthGate Brewing ,25.0,2688.0,Stronghold,16 oz.,American Porter,25.0,6.0,MN,Arundel Stronghold,Premium Bitter/ESB,Anglo-American Ales,43.844276209802636,3.100675106048584
20,5.6%,"Minneapolis, MN",NorthGate Brewing ,47.0,2687.0,Parapet ESB,16 oz.,Extra Special / Strong Bitter (ESB),47.0,5.6,MN,N/A,N/A,N/A,,
21,8.0%,"Louisville, KY",Against the Grain Brewery,68.0,2686.0,Citra Ass Down,16 oz.,American Double / Imperial IPA,68.0,8.0,KY,Against the Grain Citra Ass Down,Imperial IPA,Anglo-American Ales,95.78863310574405,3.679858922958374
22,12.5%,"Louisville, KY",Against the Grain Brewery,80.0,2685.0,London Balling,16 oz.,English Barleywine,80.0,12.5,KY,Against the Grain London Balling,Barley Wine,Anglo-American Ales,97.75631132098235,3.7736918926239014
23,7.7%,"Louisville, KY",Against the Grain Brewery,25.0,2684.0,35 K,16 oz.,Milk / Sweet Stout,25.0,7.7,KY,N/A,N/A,N/A,,
24,4.2%,"Louisville, KY",Against the Grain Brewery,42.0,2683.0,A Beer,16 oz.,American Pale Ale (APA),42.0,4.2,KY,Bison Reunion - A Beer For Hope (2008),Specialty Grain,"Traditional, Spice, Other",80.96671473333225,3.3873839378356934
25,5.0%,"Louisville, KY",Against the Grain Brewery,25.0,2682.0,Rules are Rules,16 oz.,German Pilsener,25.0,5.0,KY,N/A,N/A,N/A,,
26,6.6%,"Louisville, KY",Against the Grain Brewery,21.0,2681.0,Flesh Gourd'n,16 oz.,Pumpkin Ale,21.0,6.6,KY,N/A,Spice/Herb/Vegetable,"Traditional, Spice, Other",82.89763141996846,3.4318630695343018
27,4.0%,"Louisville, KY",Against the Grain Brewery,13.0,2680.0,Sho'nuff,16 oz.,Belgian Pale Ale,13.0,4.0,KY,N/A,N/A,N/A,,
28,5.5%,"Louisville, KY",Against the Grain Brewery,17.0,2679.0,Bloody Show,16 oz.,American Pilsner,17.0,5.5,KY,N/A,N/A,N/A,,
29,7.6%,"Louisville, KY",Against the Grain Brewery,68.0,2678.0,Rico Sauvin,16 oz.,American Double / Imperial IPA,68.0,7.6,KY,N/A,N/A,N/A,,
30,5.1%,"Louisville, KY",Against the Grain Brewery,38.0,2677.0,Coq de la Marche,16 oz.,Saison / Farmhouse Ale,38.0,5.1,KY,N/A,N/A,N/A,,
31,6.5%,"Louisville, KY",Against the Grain Brewery,,2676.0,Kamen Knuddeln,16 oz.,American Wild Ale,27.0,6.5,KY,Against the Grain Kamen Knuddeln,Traditional Ale,"Traditional, Spice, Other",78.9295109242956,3.409205913543701
32,6.0%,"Louisville, KY",Against the Grain Brewery,65.0,2675.0,Pile of Face,16 oz.,American IPA,65.0,6.0,KY,N/A,N/A,N/A,,
33,5.0%,"Louisville, KY",Against the Grain Brewery,20.0,2674.0,The Brown Note,16 oz.,English Brown Ale,20.0,5.0,KY,Against the Grain The Brown Note,Brown Ale,Anglo-American Ales,86.26437371234817,3.4866859912872314
34,5.2%,"Framingham, MA",Jack's Abby Craft Lagers,18.0,2673.0,House Lager,16 oz.,Keller Bier / Zwickel Bier,18.0,5.2,MA,N/A,N/A,N/A,,
35,4.8%,"Framingham, MA",Jack's Abby Craft Lagers,15.0,2672.0,Leisure Time,12 oz. ,American Pale Lager,15.0,4.8,MA,N/A,Spice/Herb/Vegetable,"Traditional, Spice, Other",64.95947722826313,3.3042240142822266
36,7.2%,"Framingham, MA",Jack's Abby Craft Lagers,80.0,2671.0,Excess IPL,16 oz.,American India Pale Lager,80.0,7.2,MA,N/A,India Style Lager,Lagers,98.3516210351581,3.816340923309326
37,6.7%,"Framingham, MA",Jack's Abby Craft Lagers,65.0,2670.0,Hoponius Union,12 oz.,American India Pale Lager,65.0,6.7,MA,N/A,India Style Lager,Lagers,97.42781188506802,3.7548038959503174
38,4.9%,"Framingham, MA",Jack's Abby Craft Lagers,45.0,2669.0,Calyptra,12 oz.,American India Pale Lager,45.0,4.9,MA,N/A,N/A,N/A,,
39,8.0%,"San Diego, CA",Mike Hess Brewing Company,100.0,2668.0,Habitus (2014),16 oz.,American Double / Imperial IPA,100.0,8.0,CA,N/A,N/A,N/A,,
40,7.5%,"San Diego, CA",Mike Hess Brewing Company,85.0,2667.0,Solis,16 oz.,American IPA,85.0,7.5,CA,Mike Hess Solis Occasus (WestCoaster) IPA,India Pale Ale (IPA),Anglo-American Ales,93.06835357769383,3.6007440090179443
41,6.0%,"San Diego, CA",Mike Hess Brewing Company,24.0,2666.0,Jucundus,16 oz.,Wheat Ale,24.0,6.0,CA,Mike Hess Jucundus Orange Honey Wheat,Wheat Ale,Wheat Beer,51.02976088700743,3.2092440128326416
42,8.0%,"San Diego, CA",Mike Hess Brewing Company,100.0,2664.0,Habitus,16 oz.,American Double / Imperial IPA,100.0,8.0,CA,Mike Hess Habitus Rye IPA,Imperial IPA,Anglo-American Ales,92.2630633087945,3.5833780765533447
43,6.3%,"San Diego, CA",Mike Hess Brewing Company,30.0,2663.0,Grazias,16 oz.,Cream Ale,30.0,6.3,CA,N/A,N/A,N/A,,
44,5.8%,"San Diego, CA",Mike Hess Brewing Company,28.0,2662.0,Claritas,16 oz.,Kölsch,28.0,5.8,CA,N/A,N/A,Anglo-American Ales,65.50768520515312,3.308345079421997
45,4.7%,"San Francisco, CA",Fort Point Beer Company,19.0,2661.0,Park,12 oz.,American Pale Wheat Ale,19.0,4.7,CA,Park Pils,Pilsener,Lagers,13.85451713636592,2.6342859268188477
46,5.6%,"San Francisco, CA",Fort Point Beer Company,16.0,2660.0,Westfalia,12 oz.,American Amber / Red Ale,16.0,5.6,CA,Fort Point Westfalia,Amber Ale,Anglo-American Ales,63.715625329660085,3.297008991241455
47,4.6%,"San Francisco, CA",Fort Point Beer Company,17.0,2659.0,KSA,12 oz.,Kölsch,17.0,4.6,CA,Fort Point KSA,N/A,Anglo-American Ales,48.13607430863482,3.179827928543091
48,6.3%,"San Francisco, CA",Fort Point Beer Company,42.0,2658.0,Villager,12 oz.,American IPA,42.0,6.3,CA,N/A,N/A,N/A,,
49,9.3%,"Charleston, SC",COAST Brewing Company,,2657.0,Blackbeard,12 oz.,American Double / Imperial Stout,62.0,9.3,SC,Virgin Islands Blackbeard Ale,Amber Ale,Anglo-American Ales,17.936517593220128,2.7068328857421875
50,6.2%,"Charleston, SC",COAST Brewing Company,,2656.0,Rye Knot,12 oz.,American Brown Ale,30.0256410256,6.2,SC,N/A,N/A,N/A,,
51,6.0%,"Charleston, SC",COAST Brewing Company,,2655.0,Dead Arm,12 oz.,American Pale Ale (APA),44.9411764706,6.0,SC,COAST Dead Arm Pale Ale,American Pale Ale,Anglo-American Ales,81.9962992023286,3.4364230632781982
52,4.8%,"Charleston, SC",COAST Brewing Company,,2654.0,32°/50° Kölsch ,16 oz.,Kölsch,21.7777777778,4.8,SC,N/A,N/A,N/A,,
53,7.7%,"Charleston, SC",COAST Brewing Company,,2653.0,HopArt,16 oz.,American IPA,67.634551495,7.7,SC,HopArt American Pale Ale,American Pale Ale,Anglo-American Ales,,3.1725831031799316
54,9.7%,"Charleston, SC",COAST Brewing Company,,2652.0,Boy King,16 oz.,American Double / Imperial IPA,93.5394736842,9.7,SC,COAST The Boy King Double IPA,Imperial IPA,Anglo-American Ales,98.99322872642753,3.8782761096954346
55,5.0%,"Denver, CO",Great Divide Brewing Company,,2650.0,Denver Pale Ale (Artist Series No. 1),12 oz.,American Pale Ale (APA),44.9411764706,5.0,CO,N/A,N/A,N/A,,
56,8.7%,"Denver, CO",Great Divide Brewing Company,,2649.0,Hibernation Ale,12 oz.,Old Ale,40.0,8.7,CO,Great Divide Hibernation Ale,Old Ale,Anglo-American Ales,96.92900742377506,3.72756290435791
57,6.1%,"Denver, CO",Great Divide Brewing Company,,2648.0,Whitewater,12 oz.,American Pale Wheat Ale,20.6885245902,6.1,CO,Whitewater Belfast Ale,Bitter,Anglo-American Ales,45.198630065653305,3.132356882095337
58,7.1%,"Denver, CO",Great Divide Brewing Company,,2647.0,Rumble,12 oz.,American IPA,67.634551495,7.1,CO,N/A,N/A,N/A,,
59,8.3%,"Denver, CO",Great Divide Brewing Company,,2646.0,Orabelle,12 oz.,Tripel,23.5,8.3,CO,Great Divide Orabelle,Abbey Tripel,Belgian-Style Ales,84.90766255678,3.4694020748138428
60,5.0%,"Denver, CO",Great Divide Brewing Company,,2645.0,Lasso,12 oz.,American IPA,67.634551495,5.0,CO,Lasso Dark,N/A,Lagers,8.6170652724175,2.4072020053863525
61,9.5%,"Denver, CO",Great Divide Brewing Company,75.0,2644.0,Yeti  Imperial Stout,12 oz.,Russian Imperial Stout,75.0,9.5,CO,Great Divide Yeti Imperial Stout,Imperial Stout,Stouts and Porters,99.84136332462272,4.095703125
62,7.3%,"Denver, CO",Great Divide Brewing Company,,2643.0,Colette,12 oz.,Saison / Farmhouse Ale,28.3913043478,7.3,CO,Colette et Jean Challier Cidre,Cider,Ciders,,2.8130249977111816
63,7.1%,"Denver, CO",Great Divide Brewing Company,,2642.0,Titan IPA,12 oz.,American IPA,67.634551495,7.1,CO,N/A,N/A,N/A,,
64,6.5%,"Bridgman, MI",Tapistry Brewing,35.0,2640.0,Peck's Porter,16 oz.,American Porter,35.0,6.5,MI,N/A,Porter,Stouts and Porters,,3.043142080307007
65,8.0%,"Holland, MI",Big Lake Brewing,54.0,2639.0,Dark Star,16 oz.,American Stout,54.0,8.0,MI,Dark Star Hophead,Golden Ale/Blond Ale,Anglo-American Ales,89.49487233486603,3.5329411029815674
66,5.2%,"Grand Rapids, MI",The Mitten Brewing Company,,2638.0,G. B. Russo’s Italian Pistachio Pale Ale,16 oz.,American Pale Ale (APA),44.9411764706,5.2,MI,N/A,American Pale Ale,Anglo-American Ales,,3.043142080307007
67,6.7%,"Grand Rapids, MI",Brewery Vivant,,2637.0,Belfort,16 oz.,Saison / Farmhouse Ale,28.3913043478,6.7,MI,N/A,N/A,N/A,,
68,6.0%,"Grand Rapids, MI",Brewery Vivant,,2636.0,Star Runner,16 oz.,Belgian Pale Ale,23.875,6.0,MI,N/A,N/A,N/A,,
69,4.1%,"Petoskey, MI",Petoskey Brewing,12.0,2635.0,Sparkle,16 oz.,American Pale Lager,12.0,4.1,MI,Treboom Yorkshire Sparkle Really Pale Ale,Golden Ale/Blond Ale,Anglo-American Ales,45.73027948753432,3.1220200061798096
70,4.8%,"Marquette, MI",Blackrocks Brewery,47.0,2634.0,Nordskye ,12 oz.,American IPA,47.0,4.8,MI,Blackrocks Nordskye Session IPA,Session IPA,Anglo-American Ales,84.8148880877508,3.4550089836120605
71,5.5%,"Comstock Park, MI",Perrin Brewing Company,10.0,2633.0,Hotbox Brown,12 oz.,American Brown Ale,10.0,5.5,MI,Perrin Hotbox Brown,Brown Ale,Anglo-American Ales,89.26102337416908,3.5256810188293457
72,4.8%,"Comstock Park, MI",Perrin Brewing Company,15.0,2632.0,Gold,12 oz.,American Blonde Ale,15.0,4.8,MI,Gold,Sour/Wild Ale,Lambic and Sour Ale,,3.1932051181793213
73,5.8%,"Comstock Park, MI",Perrin Brewing Company,,2631.0,Black,12 oz.,American Black Ale,68.9,5.8,MI,N/A,N/A,N/A,,
74,6.5%,"Comstock Park, MI",Perrin Brewing Company,65.0,2630.0,98 Problems (Cuz A Hop Ain't One),12 oz.,American IPA,65.0,6.5,MI,N/A,N/A,N/A,,
75,5.0%,"Comstock Park, MI",Perrin Brewing Company,40.0,2629.0,Veteran’s Pale Ale (VPA),12 oz.,American Pale Ale (APA),40.0,5.0,MI,N/A,N/A,N/A,,
76,5.0%,"Comstock Park, MI",Perrin Brewing Company,35.0,2628.0,Grapefruit IPA,12 oz.,American IPA,35.0,5.0,MI,N/A,N/A,N/A,,
77,5.8%,"South Lyon, MI",Witch's Hat Brewing Company,72.0,2627.0,Train Hopper,12 oz.,American IPA,72.0,5.8,MI,LOC Train Hopper,Imperial IPA,Anglo-American Ales,83.1927470106944,3.4508490562438965
78,4.5%,"South Lyon, MI",Witch's Hat Brewing Company,,2626.0,Edward’s Portly Brown,12 oz.,American Brown Ale,30.0256410256,4.5,MI,N/A,N/A,N/A,,
79,8.5%,"Grand Rapids, MI",Founders Brewing Company,50.0,2625.0,Dirty Bastard,12 oz.,Scotch Ale / Wee Heavy,50.0,8.5,MI,Founders Dirty Bastard Scotch Ale,Scotch Ale,Anglo-American Ales,97.096146606569,3.737730026245117
80,6.5%,"Indianapolis, IN",Flat 12 Bierwerks,,2624.0,Deflator,16 oz.,Doppelbock,24.5,6.5,IN,Tired Hands / Monkish Ego Deflator,Premium Lager,Lagers,,3.4101788997650146
81,5.8%,"Evansville, IN",Tin Man Brewing Company,20.0,2623.0,Cafe Leche,16 oz.,American Porter,20.0,5.8,IN,N/A,N/A,N/A,,
82,5.2%,"Evansville, IN",Tin Man Brewing Company,12.0,2622.0,Damascene Apricot Sour,16 oz.,Fruit / Vegetable Beer,12.0,5.2,IN,Tin Man Damascene Apricot Sour,Berliner Weisse,Lambic and Sour Ale,82.79866764311284,3.4382009506225586
83,12.0%,"Evansville, IN",Tin Man Brewing Company,90.0,2621.0,Csar,16 oz.,Russian Imperial Stout,90.0,12.0,IN,Tin Man Csar Russian Imperial Stout,Imperial Stout,Stouts and Porters,94.83734404799263,3.648319959640503
84,7.2%,"Indianapolis, IN",Black Acre Brewing Co.,75.0,2620.0,Saucy Intruder,16 oz.,Rye Beer,75.0,7.2,IN,N/A,N/A,N/A,,
85,5.8%,"Plainfield, IN",Brew Link Brewing,,2619.0,Insert Hop Reference,16 oz.,American Pale Ale (APA),44.9411764706,5.8,IN,Brew Link Insert Hop Reference,American Pale Ale,Anglo-American Ales,,3.0749950408935547
86,7.0%,"Granger, IN",Bare Hands Brewery,46.0,2618.0,Thai.p.a,16 oz.,American IPA,46.0,7.0,IN,Daleside Thai.P.A.,Spice/Herb/Vegetable,"Traditional, Spice, Other",43.71689489424305,3.1055760383605957
87,5.5%,"Martinsville, IN",Three Pints Brewing,64.0,2617.0,Citra Faced,16 oz.,American Pale Wheat Ale,64.0,5.5,IN,Three Pints Citra Faced Wheat,Wheat Ale,Wheat Beer,85.18423251158903,3.448892116546631
88,5.5%,"Martinsville, IN",Three Pints Brewing,31.0,2616.0,Pole Barn Stout,16 oz.,Oatmeal Stout,31.0,5.5,IN,N/A,N/A,N/A,,
89,5.4%,"Martinsville, IN",Three Pints Brewing,37.0,2615.0,Pale,16 oz.,American Pale Ale (APA),37.0,5.4,IN,Pale Horse Hopyard Dog IPA,India Pale Ale (IPA),Anglo-American Ales,62.59863006565332,3.2006959915161133
90,5.3%,"Martinsville, IN",Three Pints Brewing,27.0,2614.0,Yoshi's Nectar,16 oz.,California Common / Steam Beer,27.0,5.3,IN,N/A,California Common,Lagers,43.4598389852824,3.0765879154205322
91,5.5%,"Valparaiso, IN",Four Fathers Brewing ,,2613.0,Feel Like Maplin' Love,16 oz.,Oatmeal Stout,28.0909090909,5.5,IN,N/A,Sweet Stout,Stouts and Porters,,3.2468481063842773
92,5.0%,"Valparaiso, IN",Four Fathers Brewing ,,2612.0,Father's Beer,16 oz.,Belgian Pale Ale,23.875,5.0,IN,N/A,Spice/Herb/Vegetable,"Traditional, Spice, Other",81.17499445921399,3.4290170669555664
93,6.0%,"Valparaiso, IN",Four Fathers Brewing ,,2611.0,The 26th,16 oz.,American IPA,67.634551495,6.0,IN,Four Fathers The 26th,India Pale Ale (IPA),Anglo-American Ales,,3.159029006958008
94,6.4%,"Valparaiso, IN",Four Fathers Brewing ,90.0,2610.0,The Gadget,16 oz.,American IPA,90.0,6.4,IN,Urban Artifact The Gadget,Sour/Wild Ale,Lambic and Sour Ale,,3.513838052749634
95,5.8%,"Indianapolis, IN",Indiana City Brewing,58.0,2609.0,Tribute,12 oz.,American Pale Ale (APA),58.0,5.8,IN,N/A,N/A,N/A,,
96,6.5%,"Michigan City, IN",Burn 'Em Brewing,,2608.0,Wrath of Pele,16 oz.,American Brown Ale,30.0256410256,6.5,IN,N/A,Brown Ale,Anglo-American Ales,,3.5744199752807617
97,6.8%,"Michigan City, IN",Burn 'Em Brewing,,2607.0,Black Beer'd,16 oz.,American Black Ale,68.9,6.8,IN,N/A,N/A,N/A,,
98,7.8%,"Michigan City, IN",Burn 'Em Brewing,,2606.0,Mr. Tea,24 oz.,Fruit / Vegetable Beer,14.2,7.8,IN,N/A,N/A,N/A,,
99,5.2%,"Indianapolis, IN",Sun King Brewing Company,29.0,2605.0,Tip Off,16 oz.,Altbier,29.0,5.2,IN,N/A,N/A,N/A,,
100,4.9%,"Mishawaka, IN",Evil Czech Brewery,23.0,2604.0,Blonde Czich,16 oz.,American Blonde Ale,23.0,4.9,IN,Evil-Czech Blonde Czich,Golden Ale/Blond Ale,Anglo-American Ales,,2.860243082046509
101,6.5%,"Columbus, IN",450 North Brewing Company,,2603.0,Galaxyfest,16 oz.,American IPA,67.634551495,6.5,IN,450 North Galaxy Fest,India Pale Ale (IPA),Anglo-American Ales,39.649468406640366,3.0508980751037598
102,5.0%,"Columbus, IN",450 North Brewing Company,45.0,2602.0,Citrafest,16 oz.,American IPA,45.0,5.0,IN,450 North Citrafest,Session IPA,Anglo-American Ales,46.81706524732294,3.156187057495117
103,8.0%,"Bargersville, IN",Taxman Brewing Company,22.0,2601.0,Deduction,12 oz.,Dubbel,22.0,8.0,IN,N/A,N/A,N/A,,
104,8.5%,"Seven Points, TX",Cedar Creek Brewery,90.0,2600.0,Gone A-Rye,16 oz.,American Double / Imperial IPA,90.0,8.5,TX,N/A,N/A,N/A,,
105,9.8%,"Grand Rapids, MI",Brewery Vivant,,2598.0,Tart Side of the Barrel,16 oz.,American Double / Imperial Stout,62.0,9.8,MI,N/A,N/A,N/A,,
106,6.0%,"Grand Rapids, MI",Brewery Vivant,,2597.0,Linnaeus Mango IPA,16 oz.,American IPA,67.634551495,6.0,MI,N/A,N/A,N/A,,
107,6.2%,"Kansas City, MO",Boulevard Brewing Company,80.0,2596.0,Heavy Lifting,12 oz.,American IPA,80.0,6.2,MO,Boulevard Heavy Lifting IPA,India Pale Ale (IPA),Anglo-American Ales,90.25758453032213,3.5452980995178223
108,,,,,,,,,,,,N/A,N/A,N/A,,
109,5.2%,"Torrance, CA",The Dudes' Brewing Company,35.0,2594.0,Surfrider,16 oz.,American Pale Ale (APA),35.0,5.2,CA,N/A,N/A,N/A,,
110,7.0%,"San Diego, CA",Ballast Point Brewing Company,,2593.0,Grapefruit Sculpin,12 oz.,American IPA,67.634551495,7.0,CA,Anchor Liberty Ale,American Pale Ale,Anglo-American Ales,91.42616260453379,3.566464900970459
111,5.9%,"San Francisco, CA",Anchor Brewing Company,,2592.0,Liberty Ale,12 oz,American IPA,67.634551495,5.9,CA,N/A,N/A,N/A,,
112,4.5%,"Buellton, CA",Figueroa Mountain Brewing Company,,2591.0,Weiss Weiss Baby,12 oz.,Kristalweizen,0.0,4.5,CA,Figueroa Mountain Czech Yo Self,Pilsener,Lagers,,3.082719087600708
113,5.5%,"Buellton, CA",Figueroa Mountain Brewing Company,45.0,2590.0,Czech Yo Self,12 oz.,Czech Pilsener,45.0,5.5,CA,N/A,N/A,N/A,,
114,8.0%,"Boulder, CO",Avery Brewing Company,,2589.0,Raja,12 oz.,American Double / Imperial IPA,93.5394736842,8.0,CO,N/A,N/A,N/A,,
115,5.4%,"Dripping Springs, TX",Twisted X Brewing Company,26.0,2588.0,Cow Creek (Current),12 oz.,American Amber / Red Lager,26.0,5.4,TX,Breckenridge Vanilla Porter,Porter,Stouts and Porters,59.19187993895043,3.2677900791168213
116,7.0%,"Kalamazoo, MI",Gonzo's BiggDogg Brewing,11.0,2587.0,Vanilla Porter,16 oz.,American Porter,11.0,7.0,MI,N/A,N/A,N/A,,
117,6.0%,"Murphysboro, IL",Big Muddy Brewing,,2586.0,Blueberry Blonde,12 oz.,Fruit / Vegetable Beer,14.2,6.0,IL,Lervig Brewers Reserve Galaxy IPA Single Hopped,India Pale Ale (IPA),Anglo-American Ales,87.80746707433562,3.5023770332336426
118,7.5%,"Murphysboro, IL",Big Muddy Brewing,60.0,2585.0,Galaxy IPA,16 oz.,American IPA,60.0,7.5,IL,Bayerischer Bahnhof Original Leipziger Gose,Grodziskie/Gose/Lichtenhainer,Wheat Beer,76.32412414696853,3.3864920139312744
119,4.6%,"East Fairfield, VT",Lost Nation Brewing,8.0,2584.0,Gose,16 oz.,Gose,8.0,4.6,VT,N/A,N/A,N/A,,
120,4.8%,"East Fairfield, VT",Lost Nation Brewing,20.0,2583.0,Vermont Pilsner,16 oz.,German Pilsener,20.0,4.8,VT,Lost Nation Mosaic Single Hop IPA,India Pale Ale (IPA),Anglo-American Ales,94.22197157972231,3.6308610439300537
121,5.5%,"East Fairfield, VT",Lost Nation Brewing,,2582.0,Mosaic Single Hop IPA,16 oz.,American IPA,67.634551495,5.5,VT,Lost Nation Lost Galaxy,Session IPA,Anglo-American Ales,95.84684897493828,3.6814138889312744
122,4.5%,"East Fairfield, VT",Lost Nation Brewing,,2581.0,Lost Galaxy,16 oz.,American IPA,67.634551495,4.5,VT,Bayerischer Bahnhof Original Leipziger Gose,Grodziskie/Gose/Lichtenhainer,Wheat Beer,76.32412414696853,3.3864920139312744
123,3.5%,"Portland, ME",Rising Tide Brewing Company,,2580.0,Gose,16 oz.,Gose,9.42857142857,3.5,ME,N/A,N/A,N/A,,
124,5.0%,"Export, PA",Rivertowne Brewing Company,100.0,2579.0,Jah Mon,12 oz.,American IPA,100.0,5.0,PA,N/A,N/A,N/A,,
125,6.5%,"San Francisco, CA",Anchor Brewing Company,,2578.0,IPA,12 oz.,American IPA,67.634551495,6.5,CA,N/A,N/A,N/A,,
126,4.5%,"San Francisco, CA",Anchor Brewing Company,,2577.0,Summer Wheat,12 oz.,American Pale Wheat Ale,20.6885245902,4.5,CA,Revolution Fist City,American Pale Ale,Anglo-American Ales,94.22197157972231,3.6302480697631836
127,5.5%,"Chicago, IL",Revolution Brewing Company,40.0,2576.0,Fist City,12 oz.,American Pale Ale (APA),40.0,5.5,IL,Tallgrass Wooden Rooster,Abbey Tripel,Belgian-Style Ales,94.40838940961876,3.6352810859680176
128,8.5%,"Manhattan, KS",Tallgrass Brewing Company,34.0,2575.0,Wooden Rooster,16.9 oz.,Tripel,34.0,8.5,KS,N/A,N/A,N/A,,
129,10.0%,"Brooklyn, NY",Sixpoint Craft Ales,52.0,2574.0,4Beans,12 oz.,Baltic Porter,52.0,10.0,NY,N/A,N/A,N/A,,
130,5.5%,"Hooksett, NH",White Birch Brewing,,2573.0,Raspberry Berliner Weisse,12 oz.,Berliner Weissbier,7.8,5.5,NH,N/A,N/A,N/A,,
131,5.0%,"Hooksett, NH",White Birch Brewing,,2572.0,Hop Session,12 oz.,American IPA,67.634551495,5.0,NH,White Birch Blueberry Berliner Weisse,Berliner Weisse,Lambic and Sour Ale,67.66987476874043,3.325467109680176
132,5.5%,"Hooksett, NH",White Birch Brewing,,2571.0,Blueberry Berliner Weisse,12 oz.,Berliner Weissbier,7.8,5.5,NH,N/A,N/A,N/A,,
133,5.5%,"Hooksett, NH",White Birch Brewing,,2570.0,Berliner Weisse,12 oz.,Berliner Weissbier,7.8,5.5,NH,Firestone Walker Easy Jack,Session IPA,Anglo-American Ales,95.31781063736233,3.664335012435913
