,abv,brewery_location,brewery_name,ibu,id,name,size,style,ibu_clean,abv_clean,state
0,5.0%,"Chandler, AZ",SanTan Brewing Company,20,2707,Mr. Pineapple,12 oz.,Wheat Ale,20.0,5.0,AZ
1,8.2%,"Cincinnati, OH",Christian Moerlein Brewing Company,70,2706,Handle Bar (Current),12 oz.,American Stout,70.0,8.2,OH
2,5.0%,"Forest, VA",Apocalypse Ale Works,18,2705,Golden Censer,12 oz.,Wheat Ale,18.0,5.0,VA
3,6.2%,"Manassas, VA",Heritage Brewing Company,N/A,2704,Freedom Isn't Free,12 oz.,American IPA,67.634551495,6.2,VA
4,7.4%,"Manassas, VA",Heritage Brewing Company,115,2703,Kings Mountain,12 oz.,Scottish Ale,115.0,7.4,VA
5,8.0%,"Forest, VA",Apocalypse Ale Works,110,2702,Red Hoppocalypse,12 oz.,American Double / Imperial IPA,110.0,8.0,VA
6,5.0%,"Hays, KS",Defiance Brewing Company,16,2701,Willy Nilly,12 oz.,American Blonde Ale,16.0,5.0,KS
7,5.5%,"Madison, OH",Hop View Brewing Company,35,2700,Bernie Beer,12 oz.,American Brown Ale,35.0,5.5,OH
8,5.7%,"Lexington, KY",West Sixth Brewing,N/A,2699,Lemongrass American Wheat,"12 oz,",Wheat Ale,20.6666666667,5.7,KY
9,6.5%,"Warrenville, IL",Two Brothers Brewing Company,N/A,2698,Outlaw IPA,12 oz.,American IPA,67.634551495,6.5,IL
10,5.0%,"Saint Louis, MO",4 Hands Brewing Company,N/A,2697,Single Speed,12 oz.,American Blonde Ale,20.9032258065,5.0,MO
11,5.0%,"Providence, RI",Narragansett Brewing Company,N/A,2696,Del's Shandy,16 oz.,Shandy,0.0,5.0,RI
12,5.0%,"Providence, RI",Narragansett Brewing Company,12,2695,Lager,16 oz.,American Pale Lager,12.0,5.0,RI
13,5.8%,"Houston, TX",Buffalo Bayou Brewing Company,22,2694,Great White Buffalo,12 oz,Witbier,22.0,5.8,TX
14,6.5%,"Dripping Springs, TX",Twisted X Brewing Company,46,2693,Fuego (2016),12 oz,American Pilsner,46.0,6.5,TX
15,4.5%,"Minneapolis, MN",NorthGate Brewing ,50,2692,Get Together,16 oz.,American IPA,50.0,4.5,MN
16,4.9%,"Minneapolis, MN",NorthGate Brewing ,26,2691,Maggie's Leap,16 oz.,Milk / Sweet Stout,26.0,4.9,MN
17,4.8%,"Minneapolis, MN",NorthGate Brewing ,19,2690,Wall's End,16 oz.,English Brown Ale,19.0,4.8,MN
18,6.0%,"Minneapolis, MN",NorthGate Brewing ,38,2689,Pumpion,16 oz.,Pumpkin Ale,38.0,6.0,MN
19,6.0%,"Minneapolis, MN",NorthGate Brewing ,25,2688,Stronghold,16 oz.,American Porter,25.0,6.0,MN
20,5.6%,"Minneapolis, MN",NorthGate Brewing ,47,2687,Parapet ESB,16 oz.,Extra Special / Strong Bitter (ESB),47.0,5.6,MN
21,8.0%,"Louisville, KY",Against the Grain Brewery,68,2686,Citra Ass Down,16 oz.,American Double / Imperial IPA,68.0,8.0,KY
22,12.5%,"Louisville, KY",Against the Grain Brewery,80,2685,London Balling,16 oz.,English Barleywine,80.0,12.5,KY
23,7.7%,"Louisville, KY",Against the Grain Brewery,25,2684,35 K,16 oz.,Milk / Sweet Stout,25.0,7.7,KY
24,4.2%,"Louisville, KY",Against the Grain Brewery,42,2683,A Beer,16 oz.,American Pale Ale (APA),42.0,4.2,KY
25,5.0%,"Louisville, KY",Against the Grain Brewery,25,2682,Rules are Rules,16 oz.,German Pilsener,25.0,5.0,KY
26,6.6%,"Louisville, KY",Against the Grain Brewery,21,2681,Flesh Gourd'n,16 oz.,Pumpkin Ale,21.0,6.6,KY
27,4.0%,"Louisville, KY",Against the Grain Brewery,13,2680,Sho'nuff,16 oz.,Belgian Pale Ale,13.0,4.0,KY
28,5.5%,"Louisville, KY",Against the Grain Brewery,17,2679,Bloody Show,16 oz.,American Pilsner,17.0,5.5,KY
29,7.6%,"Louisville, KY",Against the Grain Brewery,68,2678,Rico Sauvin,16 oz.,American Double / Imperial IPA,68.0,7.6,KY
30,5.1%,"Louisville, KY",Against the Grain Brewery,38,2677,Coq de la Marche,16 oz.,Saison / Farmhouse Ale,38.0,5.1,KY
31,6.5%,"Louisville, KY",Against the Grain Brewery,N/A,2676,Kamen Knuddeln,16 oz.,American Wild Ale,27.0,6.5,KY
32,6.0%,"Louisville, KY",Against the Grain Brewery,65,2675,Pile of Face,16 oz.,American IPA,65.0,6.0,KY
33,5.0%,"Louisville, KY",Against the Grain Brewery,20,2674,The Brown Note,16 oz.,English Brown Ale,20.0,5.0,KY
34,5.2%,"Framingham, MA",Jack's Abby Craft Lagers,18,2673,House Lager,16 oz.,Keller Bier / Zwickel Bier,18.0,5.2,MA
35,4.8%,"Framingham, MA",Jack's Abby Craft Lagers,15,2672,Leisure Time,12 oz. ,American Pale Lager,15.0,4.8,MA
36,7.2%,"Framingham, MA",Jack's Abby Craft Lagers,80,2671,Excess IPL,16 oz.,American India Pale Lager,80.0,7.2,MA
37,6.7%,"Framingham, MA",Jack's Abby Craft Lagers,65,2670,Hoponius Union,12 oz.,American India Pale Lager,65.0,6.7,MA
38,4.9%,"Framingham, MA",Jack's Abby Craft Lagers,45,2669,Calyptra,12 oz.,American India Pale Lager,45.0,4.9,MA
39,8.0%,"San Diego, CA",Mike Hess Brewing Company,100,2668,Habitus (2014),16 oz.,American Double / Imperial IPA,100.0,8.0,CA
40,7.5%,"San Diego, CA",Mike Hess Brewing Company,85,2667,Solis,16 oz.,American IPA,85.0,7.5,CA
41,6.0%,"San Diego, CA",Mike Hess Brewing Company,24,2666,Jucundus,16 oz.,Wheat Ale,24.0,6.0,CA
42,8.0%,"San Diego, CA",Mike Hess Brewing Company,100,2664,Habitus,16 oz.,American Double / Imperial IPA,100.0,8.0,CA
43,6.3%,"San Diego, CA",Mike Hess Brewing Company,30,2663,Grazias,16 oz.,Cream Ale,30.0,6.3,CA
44,5.8%,"San Diego, CA",Mike Hess Brewing Company,28,2662,Claritas,16 oz.,Kölsch,28.0,5.8,CA
45,4.7%,"San Francisco, CA",Fort Point Beer Company,19,2661,Park,12 oz.,American Pale Wheat Ale,19.0,4.7,CA
46,5.6%,"San Francisco, CA",Fort Point Beer Company,16,2660,Westfalia,12 oz.,American Amber / Red Ale,16.0,5.6,CA
47,4.6%,"San Francisco, CA",Fort Point Beer Company,17,2659,KSA,12 oz.,Kölsch,17.0,4.6,CA
48,6.3%,"San Francisco, CA",Fort Point Beer Company,42,2658,Villager,12 oz.,American IPA,42.0,6.3,CA
49,9.3%,"Charleston, SC",COAST Brewing Company,N/A,2657,Blackbeard,12 oz.,American Double / Imperial Stout,62.0,9.3,SC
50,6.2%,"Charleston, SC",COAST Brewing Company,N/A,2656,Rye Knot,12 oz.,American Brown Ale,30.0256410256,6.2,SC
51,6.0%,"Charleston, SC",COAST Brewing Company,N/A,2655,Dead Arm,12 oz.,American Pale Ale (APA),44.9411764706,6.0,SC
52,4.8%,"Charleston, SC",COAST Brewing Company,N/A,2654,32°/50° Kölsch ,16 oz.,Kölsch,21.7777777778,4.8,SC
53,7.7%,"Charleston, SC",COAST Brewing Company,N/A,2653,HopArt,16 oz.,American IPA,67.634551495,7.7,SC
54,9.7%,"Charleston, SC",COAST Brewing Company,N/A,2652,Boy King,16 oz.,American Double / Imperial IPA,93.5394736842,9.7,SC
55,5.0%,"Denver, CO",Great Divide Brewing Company,N/A,2650,Denver Pale Ale (Artist Series No. 1),12 oz.,American Pale Ale (APA),44.9411764706,5.0,CO
56,8.7%,"Denver, CO",Great Divide Brewing Company,N/A,2649,Hibernation Ale,12 oz.,Old Ale,40.0,8.7,CO
57,6.1%,"Denver, CO",Great Divide Brewing Company,N/A,2648,Whitewater,12 oz.,American Pale Wheat Ale,20.6885245902,6.1,CO
58,7.1%,"Denver, CO",Great Divide Brewing Company,N/A,2647,Rumble,12 oz.,American IPA,67.634551495,7.1,CO
59,8.3%,"Denver, CO",Great Divide Brewing Company,N/A,2646,Orabelle,12 oz.,Tripel,23.5,8.3,CO
60,5.0%,"Denver, CO",Great Divide Brewing Company,N/A,2645,Lasso,12 oz.,American IPA,67.634551495,5.0,CO
61,9.5%,"Denver, CO",Great Divide Brewing Company,75,2644,Yeti  Imperial Stout,12 oz.,Russian Imperial Stout,75.0,9.5,CO
62,7.3%,"Denver, CO",Great Divide Brewing Company,N/A,2643,Colette,12 oz.,Saison / Farmhouse Ale,28.3913043478,7.3,CO
63,7.1%,"Denver, CO",Great Divide Brewing Company,N/A,2642,Titan IPA,12 oz.,American IPA,67.634551495,7.1,CO
64,6.5%,"Bridgman, MI",Tapistry Brewing,35,2640,Peck's Porter,16 oz.,American Porter,35.0,6.5,MI
65,8.0%,"Holland, MI",Big Lake Brewing,54,2639,Dark Star,16 oz.,American Stout,54.0,8.0,MI
66,5.2%,"Grand Rapids, MI",The Mitten Brewing Company,N/A,2638,G. B. Russo’s Italian Pistachio Pale Ale,16 oz.,American Pale Ale (APA),44.9411764706,5.2,MI
67,6.7%,"Grand Rapids, MI",Brewery Vivant,N/A,2637,Belfort,16 oz.,Saison / Farmhouse Ale,28.3913043478,6.7,MI
68,6.0%,"Grand Rapids, MI",Brewery Vivant,N/A,2636,Star Runner,16 oz.,Belgian Pale Ale,23.875,6.0,MI
69,4.1%,"Petoskey, MI",Petoskey Brewing,12,2635,Sparkle,16 oz.,American Pale Lager,12.0,4.1,MI
70,4.8%,"Marquette, MI",Blackrocks Brewery,47,2634,Nordskye ,12 oz.,American IPA,47.0,4.8,MI
71,5.5%,"Comstock Park, MI",Perrin Brewing Company,10,2633,Hotbox Brown,12 oz.,American Brown Ale,10.0,5.5,MI
72,4.8%,"Comstock Park, MI",Perrin Brewing Company,15,2632,Gold,12 oz.,American Blonde Ale,15.0,4.8,MI
73,5.8%,"Comstock Park, MI",Perrin Brewing Company,N/A,2631,Black,12 oz.,American Black Ale,68.9,5.8,MI
74,6.5%,"Comstock Park, MI",Perrin Brewing Company,65,2630,98 Problems (Cuz A Hop Ain't One),12 oz.,American IPA,65.0,6.5,MI
75,5.0%,"Comstock Park, MI",Perrin Brewing Company,40,2629,Veteran’s Pale Ale (VPA),12 oz.,American Pale Ale (APA),40.0,5.0,MI
76,5.0%,"Comstock Park, MI",Perrin Brewing Company,35,2628,Grapefruit IPA,12 oz.,American IPA,35.0,5.0,MI
77,5.8%,"South Lyon, MI",Witch's Hat Brewing Company,72,2627,Train Hopper,12 oz.,American IPA,72.0,5.8,MI
78,4.5%,"South Lyon, MI",Witch's Hat Brewing Company,N/A,2626,Edward’s Portly Brown,12 oz.,American Brown Ale,30.0256410256,4.5,MI
79,8.5%,"Grand Rapids, MI",Founders Brewing Company,50,2625,Dirty Bastard,12 oz.,Scotch Ale / Wee Heavy,50.0,8.5,MI
80,6.5%,"Indianapolis, IN",Flat 12 Bierwerks,N/A,2624,Deflator,16 oz.,Doppelbock,24.5,6.5,IN
81,5.8%,"Evansville, IN",Tin Man Brewing Company,20,2623,Cafe Leche,16 oz.,American Porter,20.0,5.8,IN
82,5.2%,"Evansville, IN",Tin Man Brewing Company,12,2622,Damascene Apricot Sour,16 oz.,Fruit / Vegetable Beer,12.0,5.2,IN
83,12.0%,"Evansville, IN",Tin Man Brewing Company,90,2621,Csar,16 oz.,Russian Imperial Stout,90.0,12.0,IN
84,7.2%,"Indianapolis, IN",Black Acre Brewing Co.,75,2620,Saucy Intruder,16 oz.,Rye Beer,75.0,7.2,IN
85,5.8%,"Plainfield, IN",Brew Link Brewing,N/A,2619,Insert Hop Reference,16 oz.,American Pale Ale (APA),44.9411764706,5.8,IN
86,7.0%,"Granger, IN",Bare Hands Brewery,46,2618,Thai.p.a,16 oz.,American IPA,46.0,7.0,IN
87,5.5%,"Martinsville, IN",Three Pints Brewing,64,2617,Citra Faced,16 oz.,American Pale Wheat Ale,64.0,5.5,IN
88,5.5%,"Martinsville, IN",Three Pints Brewing,31,2616,Pole Barn Stout,16 oz.,Oatmeal Stout,31.0,5.5,IN
89,5.4%,"Martinsville, IN",Three Pints Brewing,37,2615,Pale,16 oz.,American Pale Ale (APA),37.0,5.4,IN
90,5.3%,"Martinsville, IN",Three Pints Brewing,27,2614,Yoshi's Nectar,16 oz.,California Common / Steam Beer,27.0,5.3,IN
91,5.5%,"Valparaiso, IN",Four Fathers Brewing ,N/A,2613,Feel Like Maplin' Love,16 oz.,Oatmeal Stout,28.0909090909,5.5,IN
92,5.0%,"Valparaiso, IN",Four Fathers Brewing ,N/A,2612,Father's Beer,16 oz.,Belgian Pale Ale,23.875,5.0,IN
93,6.0%,"Valparaiso, IN",Four Fathers Brewing ,N/A,2611,The 26th,16 oz.,American IPA,67.634551495,6.0,IN
94,6.4%,"Valparaiso, IN",Four Fathers Brewing ,90,2610,The Gadget,16 oz.,American IPA,90.0,6.4,IN
95,5.8%,"Indianapolis, IN",Indiana City Brewing,58,2609,Tribute,12 oz.,American Pale Ale (APA),58.0,5.8,IN
96,6.5%,"Michigan City, IN",Burn 'Em Brewing,N/A,2608,Wrath of Pele,16 oz.,American Brown Ale,30.0256410256,6.5,IN
97,6.8%,"Michigan City, IN",Burn 'Em Brewing,N/A,2607,Black Beer'd,16 oz.,American Black Ale,68.9,6.8,IN
98,7.8%,"Michigan City, IN",Burn 'Em Brewing,N/A,2606,Mr. Tea,24 oz.,Fruit / Vegetable Beer,14.2,7.8,IN
99,5.2%,"Indianapolis, IN",Sun King Brewing Company,29,2605,Tip Off,16 oz.,Altbier,29.0,5.2,IN
100,4.9%,"Mishawaka, IN",Evil Czech Brewery,23,2604,Blonde Czich,16 oz.,American Blonde Ale,23.0,4.9,IN
101,6.5%,"Columbus, IN",450 North Brewing Company,N/A,2603,Galaxyfest,16 oz.,American IPA,67.634551495,6.5,IN
102,5.0%,"Columbus, IN",450 North Brewing Company,45,2602,Citrafest,16 oz.,American IPA,45.0,5.0,IN
103,8.0%,"Bargersville, IN",Taxman Brewing Company,22,2601,Deduction,12 oz.,Dubbel,22.0,8.0,IN
104,8.5%,"Seven Points, TX",Cedar Creek Brewery,90,2600,Gone A-Rye,16 oz.,American Double / Imperial IPA,90.0,8.5,TX
105,9.8%,"Grand Rapids, MI",Brewery Vivant,N/A,2598,Tart Side of the Barrel,16 oz.,American Double / Imperial Stout,62.0,9.8,MI
106,6.0%,"Grand Rapids, MI",Brewery Vivant,N/A,2597,Linnaeus Mango IPA,16 oz.,American IPA,67.634551495,6.0,MI
107,6.2%,"Kansas City, MO",Boulevard Brewing Company,80,2596,Heavy Lifting,12 oz.,American IPA,80.0,6.2,MO
109,5.2%,"Torrance, CA",The Dudes' Brewing Company,35,2594,Surfrider,16 oz.,American Pale Ale (APA),35.0,5.2,CA
110,7.0%,"San Diego, CA",Ballast Point Brewing Company,N/A,2593,Grapefruit Sculpin,12 oz.,American IPA,67.634551495,7.0,CA
111,5.9%,"San Francisco, CA",Anchor Brewing Company,N/A,2592,Liberty Ale,12 oz,American IPA,67.634551495,5.9,CA
112,4.5%,"Buellton, CA",Figueroa Mountain Brewing Company,N/A,2591,Weiss Weiss Baby,12 oz.,Kristalweizen,0.0,4.5,CA
113,5.5%,"Buellton, CA",Figueroa Mountain Brewing Company,45,2590,Czech Yo Self,12 oz.,Czech Pilsener,45.0,5.5,CA
114,8.0%,"Boulder, CO",Avery Brewing Company,N/A,2589,Raja,12 oz.,American Double / Imperial IPA,93.5394736842,8.0,CO
115,5.4%,"Dripping Springs, TX",Twisted X Brewing Company,26,2588,Cow Creek (Current),12 oz.,American Amber / Red Lager,26.0,5.4,TX
116,7.0%,"Kalamazoo, MI",Gonzo's BiggDogg Brewing,11,2587,Vanilla Porter,16 oz.,American Porter,11.0,7.0,MI
117,6.0%,"Murphysboro, IL",Big Muddy Brewing,N/A,2586,Blueberry Blonde,12 oz.,Fruit / Vegetable Beer,14.2,6.0,IL
118,7.5%,"Murphysboro, IL",Big Muddy Brewing,60,2585,Galaxy IPA,16 oz.,American IPA,60.0,7.5,IL
119,4.6%,"East Fairfield, VT",Lost Nation Brewing,8,2584,Gose,16 oz.,Gose,8.0,4.6,VT
120,4.8%,"East Fairfield, VT",Lost Nation Brewing,20,2583,Vermont Pilsner,16 oz.,German Pilsener,20.0,4.8,VT
121,5.5%,"East Fairfield, VT",Lost Nation Brewing,N/A,2582,Mosaic Single Hop IPA,16 oz.,American IPA,67.634551495,5.5,VT
122,4.5%,"East Fairfield, VT",Lost Nation Brewing,N/A,2581,Lost Galaxy,16 oz.,American IPA,67.634551495,4.5,VT
123,3.5%,"Portland, ME",Rising Tide Brewing Company,N/A,2580,Gose,16 oz.,Gose,9.42857142857,3.5,ME
124,5.0%,"Export, PA",Rivertowne Brewing Company,100,2579,Jah Mon,12 oz.,American IPA,100.0,5.0,PA
125,6.5%,"San Francisco, CA",Anchor Brewing Company,N/A,2578,IPA,12 oz.,American IPA,67.634551495,6.5,CA
126,4.5%,"San Francisco, CA",Anchor Brewing Company,N/A,2577,Summer Wheat,12 oz.,American Pale Wheat Ale,20.6885245902,4.5,CA
127,5.5%,"Chicago, IL",Revolution Brewing Company,40,2576,Fist City,12 oz.,American Pale Ale (APA),40.0,5.5,IL
128,8.5%,"Manhattan, KS",Tallgrass Brewing Company,34,2575,Wooden Rooster,16.9 oz.,Tripel,34.0,8.5,KS
129,10.0%,"Brooklyn, NY",Sixpoint Craft Ales,52,2574,4Beans,12 oz.,Baltic Porter,52.0,10.0,NY
130,5.5%,"Hooksett, NH",White Birch Brewing,N/A,2573,Raspberry Berliner Weisse,12 oz.,Berliner Weissbier,7.8,5.5,NH
131,5.0%,"Hooksett, NH",White Birch Brewing,N/A,2572,Hop Session,12 oz.,American IPA,67.634551495,5.0,NH
132,5.5%,"Hooksett, NH",White Birch Brewing,N/A,2571,Blueberry Berliner Weisse,12 oz.,Berliner Weissbier,7.8,5.5,NH
133,5.5%,"Hooksett, NH",White Birch Brewing,N/A,2570,Berliner Weisse,12 oz.,Berliner Weissbier,7.8,5.5,NH
134,4.5%,"Paso Robles, CA",Firestone Walker Brewing Company,47,2569,Easy Jack,12 oz.,American IPA,47.0,4.5,CA
135,5.5%,"Atlanta, GA",SweetWater Brewing Company,35,2568,Take Two Pils,12 oz.,German Pilsener,35.0,5.5,GA
136,4.0%,"Troutville, VA",Flying Mouse Brewery,N/A,2567,Flying Mouse 8,12 oz.,American Porter,32.2368421053,4.0,VA
137,7.0%,"Troutville, VA",Flying Mouse Brewery,70,2566,Flying Mouse 4,12 oz. ,American IPA,70.0,7.0,VA
138,12.8%,"Boulder, CO",Upslope Brewing Company,N/A,2565,Lee Hill Series Vol. 5 - Belgian Style Quadrupel Ale,19.2 oz.,Quadrupel (Quad),24.0,12.8,CO
139,10.4%,"Boulder, CO",Upslope Brewing Company,N/A,2564,Lee Hill Series Vol. 4 - Manhattan Style Rye Ale,19.2 oz.,Rye Beer,52.0,10.4,CO
140,6.8%,"Boulder, CO",Upslope Brewing Company,24,2563,Lee Hill Series Vol. 2 - Wild Saison,19.2 oz.,American Wild Ale,24.0,6.8,CO
141,9.9%,"Boulder, CO",Upslope Brewing Company,51,2562,Lee Hill Series Vol. 3 - Barrel Aged Imperial Stout,19.2 oz.,American Double / Imperial Stout,51.0,9.9,CO
142,7.6%,"Boulder, CO",Upslope Brewing Company,N/A,2561,Lee Hill Series Vol. 1 - Barrel Aged Brown Ale,19.2 oz.,American Brown Ale,30.0256410256,7.6,CO
143,6.0%,"Boulder, CO",Upslope Brewing Company,N/A,2560,Blood Orange Saison,12 oz. ,Saison / Farmhouse Ale,28.3913043478,6.0,CO
144,6.5%,"Chicago, IL",Pipeworks Brewing Company,N/A,2559,Blood of the Unicorn,16 oz.,American Amber / Red Ale,36.2987012987,6.5,IL
145,4.4%,"Roseville, MN",Bent Brewstillery,44,2558,Moar,12 oz.,English India Pale Ale (IPA),44.0,4.4,MN
146,8.3%,"Roseville, MN",Bent Brewstillery,N/A,2557,Uber Lupin Schwarz IPA,16 oz.,American Double / Imperial IPA,93.5394736842,8.3,MN
147,5.7%,"Roseville, MN",Bent Brewstillery,27,2556,Nordic Blonde,12 oz.,American Blonde Ale,27.0,5.7,MN
148,4.8%,"Manhattan, KS",Tallgrass Brewing Company,20,2555,Ginger Peach Saison,16 oz.,Saison / Farmhouse Ale,20.0,4.8,KS
149,5.5%,"Lombard, IL",Flesk Brewing Company,N/A,2554,Moped Traveler,16 oz.,American Pale Ale (APA),44.9411764706,5.5,IL
150,5.4%,"Lemont, IL",Pollyanna Brewing Company,45,2553,Mazzie,12 oz.,American Pale Ale (APA),45.0,5.4,IL
151,4.5%,"Lyons, IL",BuckleDown Brewing,N/A,2552,Painted Turtle,12 oz.,American Pale Ale (APA),44.9411764706,4.5,IL
152,5.7%,"Atlanta, GA",SweetWater Brewing Company,N/A,2551,Waterkeeper,12 oz.,Hefeweizen,17.5925925926,5.7,GA
153,5.2%,"Bloomington, IL",Destihl Brewery,16,2550,Weissenheimer,12 oz.,Hefeweizen,16.0,5.2,IL
154,5.3%,"St. Paul, MN",Summit Brewing Company,40,2549,Make It So,12 oz.,Extra Special / Strong Bitter (ESB),40.0,5.3,MN
155,7.0%,"Grand Rapids, MI",Brewery Vivant,N/A,2548,Beasts A'Burnin',16 oz.,Rauchbier,0.0,7.0,MI
156,4.5%,"Portage, MI",Latitude 42 Brewing Company,N/A,2547,Beach Cruiser,12 oz.,Hefeweizen,17.5925925926,4.5,MI
157,6.4%,"Boulder, CO",Avery Brewing Company,N/A,2546,Perzik Saison,12 oz.,Saison / Farmhouse Ale,28.3913043478,6.4,CO
158,3.5%,"Saint Louis, MO",4 Hands Brewing Company,11,2545,Passion Fruit Prussia,12 oz.,Berliner Weissbier,11.0,3.5,MO
159,4.5%,"Saint Louis, MO",4 Hands Brewing Company,18,2544,Send Help,12 oz.,American Blonde Ale,18.0,4.5,MO
160,7.2%,"Brooklyn Center, MN",Surly Brewing Company,N/A,2543,Todd the Axe Man,16 oz.,American IPA,67.634551495,7.2,MN
161,7.7%,"Grand Rapids, MI",Brewery Vivant,N/A,2542,Verdun,16 oz.,Bière de Garde,23.0,7.7,MI
162,6.5%,"Grand Rapids, MI",Brewery Vivant,N/A,2541,Barrel Aged Triomphe,16 oz.,Belgian IPA,57.0,6.5,MI
163,8.2%,"Louisville, KY",Against The Grain Brewery,68,2540,Citra Ass Down,16 oz.,American IPA,68.0,8.2,KY
164,5.0%,"Louisville, KY",Against The Grain Brewery,20,2539,The Brown Note,16 oz.,American Brown Ale,20.0,5.0,KY
165,6.0%,"Edwards, CO",Crazy Mountain Brewing Company,46,2538,Neomexicanus Native,12 oz.,American Pale Ale (APA),46.0,6.0,CO
166,8.5%,"Chicago, IL",SlapShot Brewing Company,N/A,2537,Monkey Dancing On A Razor Blade,24 oz.,Belgian IPA,57.0,8.5,IL
167,8.2%,"Chicago, IL",SlapShot Brewing Company,N/A,2536,Tripel Deke,24 oz.,Tripel,23.5,8.2,IL
168,8.3%,"Chicago, IL",Mikerphone Brewing,N/A,2535,Vinyl Frontier,24 oz.,American Double / Imperial IPA,93.5394736842,8.3,IL
169,8.0%,"Chicago, IL",Mikerphone Brewing,N/A,2534,Disco Superfly,24 oz.,American IPA,67.634551495,8.0,IL
170,7.5%,"Chicago, IL",Mikerphone Brewing,N/A,2533,Misty Mountain Hop,24 oz.,American IPA,67.634551495,7.5,IL
171,7.5%,"Chicago, IL",Mikerphone Brewing,N/A,2532,One-Hit Wonderful,24 oz.,Belgian IPA,57.0,7.5,IL
172,6.5%,"Chicago, IL",Mikerphone Brewing,N/A,2531,En Parfaite Harmonie,24 oz.,Saison / Farmhouse Ale,28.3913043478,6.5,IL
173,4.3%,"Chicago, IL",Mikerphone Brewing,8,2530,Daft Funk,24 oz.,Berliner Weissbier,8.0,4.3,IL
174,7.5%,"Chicago, IL",Mikerphone Brewing,N/A,2529,Love In An Ellavator,24 oz.,American IPA,67.634551495,7.5,IL
175,5.3%,"Chicago, IL",Mikerphone Brewing,N/A,2528,Spin Doctor,24 oz.,American Pale Ale (APA),44.9411764706,5.3,IL
176,5.3%,"San Antonio, TX",Freetail Brewing Company,27,2527,OktoberFiesta,12 oz.,,27.0,5.3,TX
177,6.5%,"San Antonio, TX",Freetail Brewing Company,33,2526,Texicali ,12 oz.,American Brown Ale,33.0,6.5,TX
178,6.0%,"San Antonio, TX",Freetail Brewing Company,N/A,2525,Pinata Protest,12 oz.,Witbier,16.44,6.0,TX
179,4.2%,"San Antonio, TX",Freetail Brewing Company,20,2524,Bat Outta Helles,12 oz.,Munich Helles Lager,20.0,4.2,TX
180,6.8%,"San Antonio, TX",Freetail Brewing Company,N/A,2523,Original,12 oz.,American Amber / Red Ale,36.2987012987,6.8,TX
181,4.2%,"San Antonio, TX",Freetail Brewing Company,10,2522,Rye Wit,12 oz.,Witbier,10.0,4.2,TX
182,5.9%,"San Antonio, TX",Freetail Brewing Company,70,2521,Soul Doubt,12 oz.,American IPA,70.0,5.9,TX
183,4.4%,"San Antonio, TX",Freetail Brewing Company,5,2520,Yo Soy Un Berliner,12 oz.,Berliner Weissbier,5.0,4.4,TX
184,7.0%,"St Petersburg, FL",3 Daughters Brewing,82,2519,Bimini Twist,12 oz.,American IPA,82.0,7.0,FL
185,5.0%,"St Petersburg, FL",3 Daughters Brewing,N/A,2518,Beach Blonde,12 oz.,American Blonde Ale,20.9032258065,5.0,FL
186,5.9%,"St Petersburg, FL",3 Daughters Brewing,N/A,2517,Rod Bender Red,12 oz.,American Amber / Red Ale,36.2987012987,5.9,FL
187,5.1%,"Mt. Airy, MD",Red Shedman Farm Brewery and Hop...,17,2516,Farmer's Daughter Blonde,16 oz.,American Blonde Ale,17.0,5.1,MD
188,5.5%,"Mt. Airy, MD",Red Shedman Farm Brewery and Hop...,45,2515,Pump House IPA,16 oz.,American IPA,45.0,5.5,MD
189,7.0%,"Mt. Airy, MD",Red Shedman Farm Brewery and Hop...,N/A,2514,Suicide Blonde IPA,16 oz.,Belgian IPA,57.0,7.0,MD
190,4.7%,"Mt. Airy, MD",Red Shedman Farm Brewery and Hop...,25,2513,Vanilla Porter,16 oz.,American Porter,25.0,4.7,MD
191,5.8%,"Mt. Airy, MD",Red Shedman Farm Brewery and Hop...,18,2512,Honey Rye,16 oz.,Rye Beer,18.0,5.8,MD
192,7.1%,"Boone, NC",Appalachian Mountain Brewery,75,2511,Long Leaf,16 oz.,American IPA,75.0,7.1,NC
193,4.7%,"Boone, NC",Appalachian Mountain Brewery,19,2510,Honey Badger Blonde,16 oz.,American Blonde Ale,19.0,4.7,NC
194,6.0%,"Boone, NC",Appalachian Mountain Brewery,23,2509,Porter (a/k/a Black Gold Porter),16 oz.,American Porter,23.0,6.0,NC
195,5.5%,"Charlotte, NC",Birdsong Brewing Company,45,2508,Jalapeno Pale Ale,16 oz.,American Pale Ale (APA),45.0,5.5,NC
196,8.5%,"Baltimore, MD",Union Craft Brewing,90,2507,Double Duckpin,12 oz.,American Double / Imperial IPA,90.0,8.5,MD
197,4.2%,"Baltimore, MD",Union Craft Brewing,10,2506,Old Pro,12 oz.,Gose,10.0,4.2,MD
198,4.9%,"Bloomington, IL",Destihl Brewery,22,2505,Abbey's Single (2015- ),12 oz.,Abbey Single Ale,22.0,4.9,IL
199,6.5%,"Grand Rapids, MI",Brewery Vivant,N/A,2504,Cherry Doppelbock,16 oz.,Doppelbock,24.5,6.5,MI
200,7.5%,"Detroit, MI",Atwater Brewery,115,2503,Hop A-Peel,16 oz.,American Double / Imperial IPA,115.0,7.5,MI
201,5.5%,"Detroit, MI",Atwater Brewery,12,2502,Vanilla Java Porter,16 oz.,American Porter,12.0,5.5,MI
