,abv,brewery_location,brewery_name,ibu,id,name,size,style,ibu_clean,abv_clean,state
2103,6.5%,"New Orleans, LA",New Orleans Lager & Ale Brewing ...,N/A,486,Hopitoulas IPA,16 oz.,American IPA,67.634551495,6.5,LA
2104,3.9%,"New Orleans, LA",New Orleans Lager & Ale Brewing ...,N/A,485,NOLA Brown Ale,12 oz.,English Dark Mild Ale,22.0,3.9,LA
2105,4.9%,"New Orleans, LA",New Orleans Lager & Ale Brewing ...,N/A,484,NOLA Blonde Ale,12 oz.,American Blonde Ale,20.9032258065,4.9,LA
2106,4.8%,"Seattle, WA",Two Beers Brewing Company,48,482,Trailhead India Style Session Ale (2011),12 oz.,American IPA,48.0,4.8,WA
2107,7.5%,"Chicago, IL",Finch's Beer Company,N/A,481,Threadless IPA,16 oz.,American IPA,67.634551495,7.5,IL
2108,5.6%,"Morganton, NC",Catawba Brewing Company,N/A,480,Farmer Ted's Farmhouse Cream Ale,12 oz.,Cream Ale,20.3333333333,5.6,NC
2109,7.0%,"Bucryus, MO",Piney River Brewing Company,70,479,Missouri Mule India Pale Ale,16 oz.,American IPA,70.0,7.0,MO
2110,5.1%,"Aurora, IN",Great Crescent Brewery,13,478,Great Crescent Belgian Style Wit,16 oz.,Witbier,13.0,5.1,IN
2111,5.0%,"Williams, AZ",Grand Canyon Brewing Company,N/A,477,White Water Wheat,12 oz.,American Pale Wheat Ale,20.6885245902,5.0,AZ
2112,5.2%,"Williams, AZ",Grand Canyon Brewing Company,N/A,476,Grand Canyon American Pilsner,12 oz.,American Pilsner,24.8,5.2,AZ
2113,5.1%,"Helena, MT",Lewis and Clark Brewing Company,N/A,475,Yellowstone Golden Ale,12 oz.,Kölsch,21.7777777778,5.1,MT
2114,5.7%,"Helena, MT",Lewis and Clark Brewing Company,N/A,474,Tumbleweed IPA,12 oz.,American IPA,67.634551495,5.7,MT
2115,5.0%,"Helena, MT",Lewis and Clark Brewing Company,N/A,473,Lewis & Clark Amber Ale,12 oz.,American Amber / Red Ale,36.2987012987,5.0,MT
2116,5.0%,"Helena, MT",Lewis and Clark Brewing Company,N/A,472,Miner's Gold Hefeweizen,12 oz.,Hefeweizen,17.5925925926,5.0,MT
2117,5.7%,"Helena, MT",Lewis and Clark Brewing Company,N/A,471,Back Country Scottish Ale,12 oz.,Scottish Ale,34.25,5.7,MT
2118,5.5%,"Bozeman, MT",Bozeman Brewing Company,N/A,470,Bozone Select Amber Ale,12 oz.,American Amber / Red Ale,36.2987012987,5.5,MT
